agency,bureau,initial_domain,reason
Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,consumerfinance.gov,Status Code
Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,mimm.gov,Redirect
Denali Commission,Denali Commission,oig.denali.gov,Redirect
Department of Commerce,Bureau of Economic Analysis,www-fd.bea.gov,Filter
Department of Commerce,Census Bureau,disasters.census.gov,Redirect
Department of Commerce,Census Bureau,facdissem.census.gov,Redirect
Department of Commerce,Census Bureau,flowsmapper.geo.census.gov,Redirect
Department of Commerce,Census Bureau,respond.qa.census.gov,Filter
Department of Commerce,Census Bureau,ssv.census.gov,Redirect
Department of Commerce,Census Bureau,www2.census.gov,Filter
Department of Commerce,Department of Commerce,staff.commerce.gov,Filter
Department of Commerce,International Trade Administration,beta.trade.gov,Redirect
Department of Commerce,International Trade Administration,blog.trade.gov,Redirect
Department of Commerce,International Trade Administration,salesforce.trade.gov,Status Code
Department of Commerce,International Trade Administration,tasefiling.gov,Redirect
Department of Commerce,Minority Business Development Agency,medweek.mbda.gov,Status Code
Department of Commerce,National Institute of Standards and Technology,edison.gov,Redirect
Department of Commerce,National Institute of Standards and Technology,iedison.gov,Redirect
Department of Commerce,National Institute of Standards and Technology,nfiles.nist.gov,Redirect
Department of Commerce,National Institute of Standards and Technology,perfloc.nist.gov,Redirect
Department of Commerce,National Institute of Standards and Technology,tac-dashboard.nist.gov,Status Code
Department of Commerce,National Institute of Standards and Technology,usgv6-deploymon.antd.nist.gov,Redirect
Department of Commerce,National Institute of Standards and Technology,www-nlpir.nist.gov,Filter
Department of Commerce,National Institute of Standards and Technology,www-x.antd.nist.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,accounts.lb.csp.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,accounts.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,alpha.ngs.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,auth.ncdc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,auth.orr.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,climategovtest.woc.noaa.gov,Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,cms-www-goesr.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,coastwatch.chesapeakebay.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,collaborate2.coast.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,coral.aoml.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,corporateservices.noaa.gov,Redirect; Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,data.nssl.noaa.gov,Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,digital.mdl.nws.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,ftp.cpc.ncep.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,ftp.emc.ncep.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,ftp.i.ncep.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,ftp.ncep.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,ftp.nco.ncep.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,ftp.ngs.noaa.gov,Filter; Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,ftp.nhc.ncep.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,ftp.nhc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,ftp.opc.ncep.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,ftp.wpc.ncep.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,ftpprd.ncep.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,fxc.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,graphical.mdl.nws.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,hub.oar.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,hwp-viz.gsd.esrl.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,idp.bldc.nwave.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,idp.boul.nwave.noaa.gov,Filter; Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,idp.ctc.nwave.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,idp.nwave.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,imagery.qa.coast.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,imagery1.qa.coast.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,imagery2.qa.coast.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,inet.coast.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,live-www-goesr.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,maps.qa.coast.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,maps1.qa.coast.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,maps2.qa.coast.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,marinecadastre.qa.coast.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,nefsc-publications.fisheries.noaa.gov,Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,nosimagery.chs.coast.noaa.gov,Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,origin-archive-afsc.fisheries.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-east-01-drupal-climate.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-east-01-wordpress-space.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-east-01-www-ospo.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-east-02-drupal-climate.woc.noaa.gov,Filter; Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,origin-east-www-goes.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-east-www-nhc.woc.noaa.gov,Filter; Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,origin-east-www-ospo.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-east-www-ssd.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-east-www-wpc.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-fisheriespermits.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-seafoodinspection.nmfs.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-wcatwc.arh.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-west-www-goes.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-west-www-nhc.woc.noaa.gov,Filter; Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,origin-west-www-ospo.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-west-www-satepsanone.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,origin-west-www-spc.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,otp.nwave.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,photolib.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,preview-forecast.weather.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,preview-www-goesr.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,radar-qa-cp.weather.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,responsedirectory.orr.noaa.gov,Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,restorationdata.noaa.gov,Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,ruc.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,rucsoundings.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,sftp.afsc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,shoreline.chs.coast.noaa.gov,Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,shoreline.qa.coast.noaa.gov,Filter; Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,sso.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,stormscdn.ngs.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,tsunami.qa.coast.noaa.gov,Filter; Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,water.weather.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,wcatwc.arh.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,webmaps.afsc.noaa.gov,Status Code
Department of Commerce,National Oceanic and Atmospheric Administration,wrecks.nauticalcharts.noaa.gov,Redirect
Department of Commerce,National Oceanic and Atmospheric Administration,www-live.goesr.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,www-preview.goesr.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,www-prod-01.oceanexplorer.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,www-prod-02.oceanexplorer.woc.noaa.gov,Filter
Department of Commerce,National Oceanic and Atmospheric Administration,www-prod.goesr.woc.noaa.gov,Filter
Department of Commerce,National Technical Information Service,dmfcert.ntis.gov,Status Code
Department of Commerce,National Telecommunications and Information Administration,internet4all.gov,Redirect
Department of Commerce,National Telecommunications and Information Administration,www2.ntia.gov,Filter
Department of Commerce,NOAA Coastal Services Center,marinecadastre.gov,Redirect
Department of Commerce,Office of the Chief Information Officer,bis.doc.gov,Redirect
Department of Commerce,Office of the Chief Information Officer,freqcoord.ntia.doc.gov,Redirect
Department of Commerce,Office of the Chief Information Officer,ntia.doc.gov,Redirect
Department of Commerce,Office of the Chief Information Officer,ntiaotiant2.ntia.doc.gov,Status Code
Department of Commerce,USPTO,auth.uspto.gov,Filter
Department of Commerce,USPTO,fqt-tsdr.etc.uspto.gov,Status Code
Department of Commerce,USPTO,legacy-assignments.uspto.gov,Status Code
Department of Commerce,USPTO,sit-tsdr.etc.uspto.gov,Status Code
Department of Commerce,USPTO,tsdrsec-sit.etc.uspto.gov,Filter
Department of Commerce,USPTO,www-search-aws.uspto.gov,Filter
Department of Commerce,USPTO,www-search.uspto.gov,Filter
Department of Commerce,USPTO,www-web-search-alx.uspto.gov,Filter
Department of Commerce,USPTO,www-web-search-byr.uspto.gov,Filter
Department of Defense,Air Force,12af.acc.af.mil,Status Code
Department of Defense,Air Force,1af.acc.af.mil,Status Code
Department of Defense,Air Force,388fw.acc.af.mil,Status Code
Department of Defense,Air Force,403wg.afrc.af.mil,Status Code
Department of Defense,Air Force,446aw.afrc.af.mil,Status Code
Department of Defense,Air Force,492sow.af.mil,Status Code
Department of Defense,Air Force,944fw.afrc.af.mil,Status Code
Department of Defense,Air Force,afsbirsttr.af.mil,Redirect
Department of Defense,Air Force,airforcebes.af.mil,Status Code
Department of Defense,Air Force,osi.af.mil,Status Code
Department of Defense,Army,2id.korea.army.mil,Status Code
Department of Defense,Army,arcyber.army.mil,Status Code
Department of Defense,Army,goarmysof.army.mil,Status Code
Department of Defense,Army,ncolcoe.army.mil,Status Code
Department of Defense,Army,peosoldier.army.mil,Status Code
Department of Defense,Army,publications.usace.army.mil,Status Code
Department of Defense,Army,test-evaluation.osd.mil,Filter
Department of Defense,Civil Air Patrol HQ,lig.nywg.cap.gov,Status Code
Department of Defense,Civil Air Patrol HQ,nhwg.noc.ner.cap.gov,Status Code
Department of Defense,Defense Media Activity,defense.gov,Status Code
Department of Defense,Defense Media Activity,diversity.defense.gov,Status Code
Department of Defense,Defense Media Activity,dodsioo.defense.gov,Redirect
Department of Defense,Defense Media Activity,dpcld.defense.gov,Redirect
Department of Defense,Defense Media Activity,jnlwp.defense.gov,Redirect
Department of Defense,Irregular Warfare Technical Support Directorate,cttso.gov,Status Code
Department of Defense,National Guard,ut.ng.mil,Status Code
Department of Defense,Navy,allhands.navy.mil,Status Code
Department of Defense,Navy,cusnc.navy.mil,Status Code
Department of Defense,Navy,mynavyhr.navy.mil,Status Code
Department of Defense,Navy,oni.navy.mil,Status Code
Department of Defense,Office of Warrior Care Policy,nationalresourcedirectory.gov,Redirect
Department of Defense,Office of Warrior Care Policy,ns1.nationalresourcedirectory.gov,Redirect
Department of Defense,Office of Warrior Care Policy,ns1.nrd.gov,Redirect
Department of Defense,Office of Warrior Care Policy,ns3.nationalresourcedirectory.gov,Redirect
Department of Defense,Office of Warrior Care Policy,ns3.nrd.gov,Redirect
Department of Defense,,navalaviationnews.navylive.dodlive.mil,Redirect
Department of Defense,,oig.dia.mil,Status Code
Department of Defense,,publicaccess.dtic.mil,Redirect
Department of Education,Office of Chief Information Officer,accfaaaccess.ed.gov,Status Code
Department of Education,Office of Chief Information Officer,apps.naep.ed.gov,Redirect
Department of Education,Office of Chief Information Officer,community.lincs.ed.gov,Status Code
Department of Education,Office of Chief Information Officer,ecdrappeals.ed.gov,Redirect
Department of Education,Office of Chief Information Officer,faaaccess.ed.gov,Status Code
Department of Education,Office of Chief Information Officer,fsaconferences.ed.gov,Redirect
Department of Education,Office of Chief Information Officer,g5.gov,Redirect
Department of Education,Office of Chief Information Officer,gateway.ies.ed.gov,Status Code
Department of Education,Office of Chief Information Officer,gotowork-piv.ed.gov,Status Code
Department of Education,Office of Chief Information Officer,nationsreportcard.ed.gov,Redirect
Department of Education,Office of Chief Information Officer,npd-review.naep.ed.gov,Redirect
Department of Education,Office of Chief Information Officer,oese.ed.gov,Redirect
Department of Education,Office of Chief Information Officer,ope.ed.gov,Redirect
Department of Education,Office of Chief Information Officer,trnvipssp.dmcseddebt.ed.gov,Status Code
Department of Education,Office of Chief Information Officer,www2.ed.gov,Filter; Redirect
Department of Energy,Argonne National Laboratory,accounts.alcf.anl.gov,Filter; Redirect
Department of Energy,Argonne National Laboratory,accounts.cels.anl.gov,Filter
Department of Energy,Argonne National Laboratory,glmris.anl.gov,Redirect
Department of Energy,Argonne National Laboratory,jenkins.aps.anl.gov,Status Code
Department of Energy,Argonne National Laboratory,lcfcrypto.anl.gov,Status Code
Department of Energy,Argonne National Laboratory,mc1.hep.anl.gov,Redirect
Department of Energy,Argonne National Laboratory,servicenow.anl.gov,Redirect
Department of Energy,Argonne National Laboratory,trac.mcs.anl.gov,Status Code
Department of Energy,Argonne National Laboratory,wiki.jlse.anl.gov,Redirect
Department of Energy,Battelle Pacific Northwest National Laboratory,sso.arm.gov,Filter; Status Code
Department of Energy,Bonneville Power Administration,info.bpa.gov,Redirect
