Website,Agency,Bureau,Office,Description
apps.bea.gov,Department of Commerce,BEA,,"Website that supports BEA's mission's to provide the most timely, relevant, and accurate economic accounts data in an objective and cost-effective manner."
bea.gov,Department of Commerce,BEA,,"Website that supports BEA's mission's to provide the most timely, relevant, and accurate economic accounts data in an objective and cost-effective manner."
acmt.bis.doc.gov,Department of Commerce,BIS,,This application allows the Office of the Chief Counsel to process Administrative Enforcement Induction Committee submissions. 
bis.gov,Department of Commerce,BIS,,This site provides information to the public on the United States Bureau of Industry and Security
cars.bis.gov,Department of Commerce,BIS,,"This application provides industry users to submit applications, declarations of conformity and advisory opinion requests related to the Connected Vehicles final rule. "
cwc.gov,Department of Commerce,BIS,,This site provides information on the US Chemical Weapons Convention to exporters and federal employees. It will be deprecated after information is migrated to bis.gov
cwcweb.cwc.gov,Department of Commerce,BIS,,This web application allows industry users to submit declarations/reports to comply with Chemical Weapons Convention regulations 
efoia.bis.doc.gov,Department of Commerce,BIS,,This site provides information to the public on how to complete a Freedom of Information Act request. 
slid.bis.doc.gov,Department of Commerce,BIS,,This site is used by external agencies to submit license determination requests to determine whether a license or permit is required for the import or export of specific goods. 
snapr.bis.gov,Department of Commerce,BIS,,"This application provides exporters the ability to submit and track notifications for export and reexport licenses, commodity classification requests and license exception agricultural commodities. "
tac.bis.doc.gov,Department of Commerce,BIS,,This site provides information to industry and federal employees about the Technical Advisory Committees that advise BIS. 
access.census.gov,Department of Commerce,Census,,
api.census.gov,Department of Commerce,Census,,
ask.census.gov,Department of Commerce,Census,,"This customer service site provides the public with a searchable knowledgebase of FAQs about the Bureau and our programs, as well as the primary contact form to submit direct questions to our agents. "
bds.explorer.ces.census.gov,Department of Commerce,Census,,"Access to Business Dynamics Statistics (BDS) dataset to compare, rank and visualize BDS data, NAICS industry, geography, and/or establishment and firm characteristics. "
bhs.econ.census.gov,Department of Commerce,Census,,BHS is designed to assist businesses and government agencies with their survey needs.
cbb.census.gov,Department of Commerce,Census,,"Census Business Builder (CBB) is a suite of services that provide demographic and economic data products, reports, and visualizations tailored to entrepreneurs in a simple to access and use format."
census.gov,Department of Commerce,Census,,"Census.gov is where business, government, researchers, and citizens find quality data about the US and world population and economy and information about our many surveys, censuses, and programs."
coil.census.gov,Department of Commerce,Census,,"The COIL website provides information to the public about projects, initiatives, and news from the COIL team."
data.census.gov,Department of Commerce,Census,,data.census.gov is the web-based application for the Census Bureau's data dissemination platform. 
geocoding.geo.census.gov,Department of Commerce,Census,,"The Census Geocoder is a web-based tool that allows the general public, local/state governments, federal agencies, and other industries to submit address(es) and find associated Census geographies. "
j2jexplorer.ces.census.gov,Department of Commerce,Census,,"Interactive visualizations allow for the construction of tables, charts, and maps to compare, aggregate, and analyze Job-to-Job earnings and Job-to-Job flows by worker and firm characteristics."
ledextract.ces.census.gov,Department of Commerce,Census,,Provides easy access to the raw data products produced through the Local Employment Dynamics (LED) Partnership by allowing users to query only the rows and columns of data they need.
lehd.ces.census.gov,Department of Commerce,Census,,"LEHD/LED Partnership: Hosts raw data downloads, interactive data tools, SOPs, educational materials, and research. These data are for state partners, public-policy, research, and businesses"
mtgis-portal.geo.census.gov,Department of Commerce,Census,,"Access and view Census public GIS applications in this Enterprise Sites Gallery. Designed to meet the needs of citizens, business, and government to easily find our parent applications."
